Train_size;Center_size;Kernel;Points_distribution;Best_epoch;Linf_Loss;Poly_degree;Trained_shapes;Trained_centers;Starting_shape;Trained_coefficients
15;5;gaussian_kernel;Equi;48086;5.062669515609741e-05;-1;0.6732795238494873, 8.423826040249762e-17, -4.226627067679652e-15, 0.4730769693851471, 0.6749619841575623;1.3471596240997314, 0.8059870004653931, -0.905361533164978, 0.49420827627182007, -0.3507162928581238;1;
15;5;gaussian_kernel;Equi;44735;8.942457498051226e-06;-1;2.2420775429197073e-44, 1.3278818130493164, 0.7876426577568054, 0.9919511675834656, 1.3755766153335571;0.947961151599884, 1.4200499057769775, 0.4673308730125427, 0.487644761800766, -0.4303800165653229;1;
15;5;gaussian_kernel;Equi;48878;9.883195161819458e-06;-1;8.471963042211428e-07, 0.8125942349433899, 1.4340977668762207, 0.8126044869422913, 1.4303923845291138;0.3999306857585907, 0.496764600276947, -0.4112791121006012, 0.5013462901115417, 1.4108965396881104;1;
15;5;gaussian_kernel;Equi;49427;5.357768532121554e-05;-1;2.886674836509123e-43, -6.3579704048962105e-24, 0.6781492829322815, 0.6804127097129822, 0.47428274154663086;-0.7475569248199463, 0.8531273007392883, 1.3622918128967285, -0.3665418326854706, 0.49403518438339233;1;
15;5;gaussian_kernel;Equi;48837;0.0005764663219451904;-1;0.2093769609928131, 0.2093769758939743, 1.7656360650492695e-43, -1.7516230804060213e-43, -3.956582329500528e-27;0.49998846650123596, 0.49999257922172546, 0.4746648669242859, 0.6123858094215393, 0.41269585490226746;1;
15;5;gaussian_kernel;Equi;17013;8.40798020362854e-06;-1;0.7776691913604736, 1.4056181907653809, 1.6252945119712482e-18, -7.530199566253814e-24, 1.4056098461151123;0.49999144673347473, -0.4310542941093445, 0.4932751953601837, 0.5118688344955444, 1.4310613870620728;1;
15;5;gaussian_kernel;Equi;47531;4.690218702307902e-05;-1;0.6805199384689331, 3.3911422836660573e-43, 0.6710489392280579, 0.4734666347503662, 4.484155085839415e-44;1.3613042831420898, -0.21938498318195343, -0.3420720398426056, 0.5308430194854736, 1.7661508321762085;1;
15;5;gaussian_kernel;Equi;47300;5.7831406593322754e-05;-1;0.4702867269515991, 1.1242477449431575e-40, 0.6626392006874084, 0.6891322135925293, 3.433181237595802e-43;0.6014695167541504, 1.0680629014968872, -0.31701427698135376, 1.3695100545883179, 1.3896923065185547;1;
15;5;gaussian_kernel;Equi;45864;0.0008522478165104985;-1;-2.0038568039844884e-43, 0.021611807867884636, 0.21043100953102112, 0.210474893450737, 1.4627400209993573e-37;0.30933013558387756, 0.5782408118247986, 0.4991048574447632, 0.49911263585090637, 0.5244520902633667;1;
15;5;gaussian_kernel;Equi;46129;0.0005738654872402549;-1;1.2579584041105818e-09, -9.248569864543793e-44, -2.8202191693083023e-09, 0.21009854972362518, 0.2100984901189804;0.5023614764213562, 0.48105019330978394, 0.31396928429603577, 0.4999981224536896, 0.4999984800815582;1;
